STATUS,COMPANY NAME,CASE NO.,COURT,CORPORATE HQ STATE,INDUSTRY,CHIEF RESTRUCTURING OFFICER,COUNSEL FOR DEBTORS AND DIP 1,COUNSEL FOR DEBTORS AND DIP 2,FA/IB TO THE DEBTOR,COUNSEL FOR COMMITTEE OF UNSECURED CREDITORS 1,COUNSEL FOR COMMITTEE OF UNSECURED CREDITORS 2,FA FOR COMMITTEE OF UNSECURED CREDITORS 1,FA FOR COMMITTEE OF UNSECURED CREDITORS 2,CLAIMS AGENT,JUDGE,APPOINTED LIQUIDATING TRUSTEE,VOTING DEADLINE,CONFIRMATION HEARING DEADLINE,Notes from last time check
ACTIVE,Aio Us Inc,24-11836,Delaware,,,"Ankura Consulting Group, LLC (Philip J. Gund)",TBD,TBD,TBD,"Cooley, LLP","A.M. Saccullo Legal, LLC","Province, LLC",TBD,"EPIQ CORPORATE RESTRUCTURING, LLC",Craig T Goldblatt,TBD,,,
ACTIVE,Exactech Inc,24-12438,Delaware,,,"Riveron Management Services, LLC (Jesse York)",TBD,TBD,TBD,Brown Rudnick LLP,TBD,"Province, LLC",TBD,KROLL RESTRUCTURING ADMINISTRATION LLC,Laurie Selber Silverstein,TBD,,,
ACTIVE,Fulcrum Bioenergy Inc,24-12008,Delaware,,,Mark Smith,TBD,TBD,TBD,Morris James LLP,Eversheds Sutherland (US) LLP,"Dundon Advisers, LLC",TBD,,Thomas M Horan,TBD,,,
ACTIVE,Gritstone Bio Inc,unknown,Delaware,,,TBD,TBD,TBD,TBD,ArentFox Schiff LLP,Potter Anderson & Corroon LLP,"FTI Consulting, Inc",TBD,"KURTZMAN CARSON CONSULTANTS, LLC",Karen B. Owens,TBD,,,
ACTIVE,Ll Flooring Holdings Inc,24-11680,Delaware,,,"AP Services, LLC (Holly Etlin)",TBD,TBD,TBD,Cole Schotz P.C,TBD,TBD,Genesis Credit Partners LLC,STRETTO,Brendan Linehan Shannon,TBD,12/11/2024,12/18/2024,
ACTIVE,Mondee Holdings Inc,25-10047,Delaware,,,"M3 Advisory Partners, LP (Mohsin Y. Meghji)",TBD,TBD,TBD,TBD,TBD,TBD,TBD,KROLL RESTRUCTURING ADMINISTRATION LLC,J Kate Stickles,TBD,,,
ACTIVE,November 26 Inc,24-12245,Delaware,,,TBD,TBD,TBD,TBD,Dundon Advisors LLC,Esbrook P.C,Dundon Advisers LLC,TBD,"EPIQ CORPORATE RESTRUCTURING, LLC",Karen B. Owens,TBD,01/13/2025,02/25/2025,
ACTIVE,Power Block Coin Llc,unknown,Unknown,,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,TBD,,,
ACTIVE,Reactor Parent Wind Down Inc,24-12446,Delaware,,,TBD,TBD,TBD,TBD,Seward & Kissel LLP,Potter Anderson & Corroon LLP,Emerald Capital Advisors,TBD,STRETTO,Karen B. Owens,TBD,,,
ACTIVE,Sc Healthcare Holding Llc,24-10486,Delaware,,,Getzler Henrich & Associates LLC (David R. Campbell),TBD,TBD,TBD,"Greenberg Traurig, LLP",TBD,"Province, LLC",TBD,"KURTZMAN CARSON CONSULTANTS, LLC",Thomas M Horan,TBD,,,
ACTIVE,Tupperware Brands Corporation,24-12167,Delaware,,,"Alvarez & Marsal North America, LLC (Brian J. Fox)",TBD,TBD,TBD,Brown Rudnick LLP,Morris James LLP,"Berkeley Research Group, LLC",TBD,"EPIQ CORPORATE RESTRUCTURING, LLC",Brendan Linehan Shannon,TBD,,,
ACTIVE,Vesttoo Ltd,23-11160,Delaware,,,TBD,TBD,TBD,TBD,"Greenberg Traurig, LLP",TBD,"Alvarez & Marsal North America, LLC",TBD,"EPIQ CORPORATE RESTRUCTURING, LLC",Mary F. Walrath,TBD,,,
ACTIVE,Pear Therapeutics Inc,23-10429,Delaware,,,"Sonoran Capital Partners, LLC (Matthew Foster)",TBD,TBD,TBD,Thompson Coburn Hahn & Hessen LLP,Thompson Coburn Hahn & Hessen LLP,Dundon Advisers LLC,TBD,,Thomas M Horan,TBD,03/18/2024,05/02/2024,
ACTIVE,Fisker Inc,24-11390,Delaware,,,"Huron Consulting Services, LLC (John C. DiDonato)",TBD,TBD,TBD,Morrison & Foerster LLP,TBD,TBD,TBD,,Thomas M Horan,TBD,10/07/2024,10/09/2024,
ACTIVE,Exp Oldco Winddown Inc,24-10831,Delaware,,,TBD,TBD,TBD,TBD,TBD,Kramer Levin Naftalis & Frankel LLP,"Province, LLC",TBD,STRETTO,Karen B. Owens,Tracy L. Klestadt,10/09/2024,10/16/2024,
ACTIVE,Sio2 Medical Products Inc,23-10366,Delaware,,,TBD,TBD,TBD,TBD,White & Case LLP,Potter Anderson & Corroon LLP,"Province, LLC",TBD,"DONLIN, RECANO & CO., INC.",John T. Dorsey,Peter Kravitz,07/10/2023,05/16/2023,
